Years,Quarters,Time Period,Arrests Reported
2018,1,2018-Q1,2254
2018,2,2018-Q2,1012
2018,3,2018-Q3,883
2018,4,2018-Q4,858
2019,1,2019-Q1,992
2019,2,2019-Q2,682
2019,3,2019-Q3,540
2019,4,2019-Q4,481
2020,1,2020-Q1,322
2020,2,2020-Q2,27
2020,3,2020-Q3,6
2020,4,2020-Q4,82
2021,1,2021-Q1,209
2021,2,2021-Q2,190
2021,3,2021-Q3,231
2021,4,2021-Q4,257
2022,1,2022-Q1,301
2022,2,2022-Q2,518
2022,3,2022-Q3,477
2022,4,2022-Q4,601
2023,1,2023-Q1,923
2023,2,2023-Q2,1136
2023,3,2023-Q3,1142
2023,4,2023-Q4,1252
2024,1,2024-Q1,1694
2024,2,2024-Q2,2277
2024,3,2024-Q3,2792
2024,4,2024-Q4,3283
2025,1,2025-Q1,3696
2025,2,2025-Q2,3149
2025,3,2025-Q3,2977
