Month,Time Period,Agency,Police.Force,Metric,Total,Quarters,Sum
03/01/2018,2018-Q1,NYCT Subway,NYPD,Fare Evasion TABS Summons,9782,1,9782
06/01/2018,2018-Q2,NYCT Subway,NYPD,Fare Evasion TABS Summons,9861,2,9861
09/01/2018,2018-Q3,NYCT Subway,NYPD,Fare Evasion TABS Summons,13964,3,13964
12/01/2018,2018-Q4,NYCT Subway,NYPD,Fare Evasion TABS Summons,15709,4,15709
01/01/2019,,NYCT Subway,NYPD,Fare Evasion TABS Summons,7196,1,
02/01/2019,,NYCT Subway,NYPD,Fare Evasion TABS Summons,7141,1,
03/01/2019,2019-Q1,NYCT Subway,NYPD,Fare Evasion TABS Summons,6785,1,19215
04/01/2019,,NYCT Subway,NYPD,Fare Evasion TABS Summons,6289,2,
05/01/2019,,NYCT Subway,NYPD,Fare Evasion TABS Summons,6141,2,
06/01/2019,2019-Q2,NYCT Subway,NYPD,Fare Evasion TABS Summons,5828,2,17503
07/01/2019,,NYCT Subway,NYPD,Fare Evasion TABS Summons,6385,3,
08/01/2019,,NYCT Subway,NYPD,Fare Evasion TABS Summons,5290,3,
09/01/2019,2019-Q3,NYCT Subway,NYPD,Fare Evasion TABS Summons,5594,3,17608
10/01/2019,,NYCT Subway,NYPD,Fare Evasion TABS Summons,6676,4,
11/01/2019,,NYCT Subway,NYPD,Fare Evasion TABS Summons,5338,4,
12/01/2019,2019-Q4,NYCT Subway,NYPD,Fare Evasion TABS Summons,4402,4,16995
01/01/2020,,NYCT Subway,NYPD,Fare Evasion TABS Summons,5985,1,
02/01/2020,,NYCT Subway,NYPD,Fare Evasion TABS Summons,6608,1,
03/01/2020,2020-Q1,NYCT Subway,NYPD,Fare Evasion TABS Summons,4056,1,4832
04/01/2020,,NYCT Subway,NYPD,Fare Evasion TABS Summons,117,2,
05/01/2020,,NYCT Subway,NYPD,Fare Evasion TABS Summons,659,2,
06/01/2020,2020-Q2,NYCT Subway,NYPD,Fare Evasion TABS Summons,41,2,335
07/01/2020,,NYCT Subway,NYPD,Fare Evasion TABS Summons,87,3,
08/01/2020,,NYCT Subway,NYPD,Fare Evasion TABS Summons,207,3,
09/01/2020,2020-Q3,NYCT Subway,NYPD,Fare Evasion TABS Summons,681,3,5159
10/01/2020,,NYCT Subway,NYPD,Fare Evasion TABS Summons,1620,4,
11/01/2020,,NYCT Subway,NYPD,Fare Evasion TABS Summons,2858,4,
12/01/2020,2020-Q4,NYCT Subway,NYPD,Fare Evasion TABS Summons,5596,4,16343
01/01/2021,,NYCT Subway,NYPD,Fare Evasion TABS Summons,5523,1,
02/01/2021,,NYCT Subway,NYPD,Fare Evasion TABS Summons,5224,1,
03/01/2021,2021-Q1,NYCT Subway,NYPD,Fare Evasion TABS Summons,7236,1,18107
04/01/2021,,NYCT Subway,NYPD,Fare Evasion TABS Summons,5331,2,
05/01/2021,,NYCT Subway,NYPD,Fare Evasion TABS Summons,5540,2,
06/01/2021,2021-Q2,NYCT Subway,NYPD,Fare Evasion TABS Summons,4277,2,13346
07/01/2021,,NYCT Subway,NYPD,Fare Evasion TABS Summons,4507,3,
08/01/2021,,NYCT Subway,NYPD,Fare Evasion TABS Summons,4562,3,
09/01/2021,2021-Q3,NYCT Subway,NYPD,Fare Evasion TABS Summons,4538,3,14462
